epoch,split,loss,acc,precision,recall,f1
1,train,1.2437,0.5150,0.3974,0.3783,0.3580
1,val,1.1232,0.5520,0.4053,0.3475,0.3205
1,test,1.8131,0.3580,0.3989,0.3580,0.2782
2,train,0.7649,0.7500,0.6688,0.5775,0.5895
2,val,1.0272,0.7440,0.5530,0.5213,0.4947
2,test,1.3180,0.6560,0.6657,0.6560,0.5707
3,train,0.5447,0.7850,0.7322,0.6878,0.6926
3,val,1.5335,0.6920,0.6733,0.5854,0.5784
3,test,1.0994,0.7840,0.8453,0.7840,0.7835
4,train,0.3114,0.8950,0.8632,0.8506,0.8519
4,val,0.7110,0.8020,0.7657,0.7142,0.7042
4,test,0.4365,0.8760,0.8924,0.8760,0.8743
5,train,0.3333,0.8750,0.8719,0.7979,0.8182
5,val,0.7850,0.7800,0.7134,0.6793,0.6827
5,test,0.5858,0.8240,0.8449,0.8240,0.8224
6,train,0.5226,0.8400,0.7920,0.7357,0.7359
6,val,0.6182,0.8400,0.7841,0.7346,0.7493
6,test,0.4749,0.8430,0.8651,0.8430,0.8361
7,train,0.4158,0.8400,0.8170,0.7328,0.7338
7,val,0.5371,0.8380,0.7794,0.7195,0.7357
7,test,0.4461,0.8540,0.8893,0.8540,0.8435
8,train,0.3487,0.8700,0.8507,0.7654,0.7804
8,val,0.5230,0.8460,0.7947,0.7245,0.7364
8,test,0.5457,0.8360,0.8834,0.8360,0.8239
9,train,0.2553,0.9250,0.9267,0.8666,0.8899
9,val,0.5181,0.8440,0.8168,0.7083,0.7301
9,test,0.6212,0.8220,0.8756,0.8220,0.8104
10,train,0.1706,0.9550,0.9386,0.9289,0.9330
10,val,0.5409,0.8520,0.8640,0.7142,0.7436
10,test,0.7680,0.7950,0.8664,0.7950,0.7823
11,train,0.1690,0.9450,0.9319,0.9064,0.9179
11,val,0.5221,0.8560,0.8782,0.7218,0.7502
11,test,0.7291,0.8000,0.8710,0.8000,0.7870
12,train,0.1583,0.9400,0.9377,0.8880,0.9080
12,val,0.4987,0.8580,0.8621,0.7256,0.7507
12,test,0.6404,0.8160,0.8734,0.8160,0.8032
13,train,0.1257,0.9600,0.9457,0.9322,0.9378
13,val,0.4901,0.8620,0.8520,0.7396,0.7609
13,test,0.5789,0.8260,0.8761,0.8260,0.8134
14,train,0.1595,0.9500,0.9206,0.9120,0.9159
14,val,0.4813,0.8600,0.8484,0.7443,0.7662
14,test,0.5484,0.8260,0.8763,0.8260,0.8153
15,train,0.1815,0.9400,0.9196,0.9284,0.9234
15,val,0.4681,0.8620,0.8409,0.7507,0.7694
15,test,0.4859,0.8460,0.8850,0.8460,0.8375
16,train,0.1592,0.9500,0.9196,0.9247,0.9218
16,val,0.4592,0.8640,0.8548,0.7471,0.7683
16,test,0.4828,0.8470,0.8861,0.8470,0.8376
17,train,0.1463,0.9500,0.9481,0.9300,0.9384
17,val,0.4553,0.8620,0.8442,0.7460,0.7662
17,test,0.4588,0.8510,0.8880,0.8510,0.8425
18,train,0.1431,0.9550,0.9426,0.9379,0.9393
18,val,0.4385,0.8640,0.8426,0.7519,0.7746
18,test,0.4432,0.8540,0.8906,0.8540,0.8471
19,train,0.1228,0.9600,0.9444,0.9375,0.9407
19,val,0.4453,0.8620,0.8346,0.7513,0.7695
19,test,0.4255,0.8590,0.8914,0.8590,0.8520
20,train,0.1577,0.9550,0.9513,0.9229,0.9359
20,val,0.4566,0.8640,0.8527,0.7524,0.7725
20,test,0.4647,0.8490,0.8866,0.8490,0.8404
